,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
60,60,-0.6752338,2021-03-18 11:04:59.051570,2021-03-18 11:12:13.599632,0 days 00:07:14.548062000,256,1000000,auto,0.9999,0,-1.4121100313912287,0.018302244430226332,medium,0.02,16,PRUNED
61,61,861.8806279999999,2021-03-18 11:12:13.600599,2021-03-18 11:34:56.925625,0 days 00:22:43.325026000,256,10000,auto,0.9999,0,-1.8502684289550004,0.008636812998715559,medium,0.02,16,COMPLETE
62,62,972.7804765999999,2021-03-18 11:16:25.243961,2021-03-18 11:38:15.477766,0 days 00:21:50.233805000,256,10000,auto,0.9999,0,-1.846541507916216,0.009358199950393201,medium,0.02,16,COMPLETE
63,63,-0.09014820000000001,2021-03-18 11:34:56.929869,2021-03-18 11:41:53.983202,0 days 00:06:57.053333000,256,10000,auto,0.9999,0,-2.3224765193877595,0.004144817424854347,medium,0.02,32,PRUNED
64,64,974.7826422,2021-03-18 11:38:15.479559,2021-03-18 12:01:41.759078,0 days 00:23:26.279519000,256,10000,auto,0.9999,0,-1.6218365920495077,0.005890557995285159,medium,0.02,16,COMPLETE
65,65,1317.8351214,2021-03-18 11:41:53.984356,2021-03-18 12:05:13.771405,0 days 00:23:19.787049000,256,10000,auto,0.9999,0,-1.643055575126645,0.010890349012742202,medium,0.02,16,COMPLETE
66,66,-0.736753,2021-03-18 12:01:41.760906,2021-03-18 12:08:40.319248,0 days 00:06:58.558342000,256,10000,auto,0.9999,0,-0.9993793355611804,0.011802538112606361,medium,0.02,16,PRUNED
67,67,973.1777734,2021-03-18 12:05:13.773316,2021-03-18 12:29:27.576969,0 days 00:24:13.803653000,256,10000,auto,0.99,0,-1.0122168324776366,0.007711350521400211,medium,0.02,16,COMPLETE
68,68,-399.8686918,2021-03-18 12:08:40.320307,2021-03-18 12:15:53.849882,0 days 00:07:13.529575000,256,10000,auto,0.99,0,-1.6195502451089836,0.03549603274554795,medium,0.02,16,PRUNED
69,69,935.3396644000001,2021-03-18 12:15:53.851038,2021-03-18 12:40:11.121509,0 days 00:24:17.270471000,256,10000,auto,0.9999,0,-1.2562346857691298,0.006518917810200942,medium,0.02,16,COMPLETE
70,70,27.2955478,2021-03-18 12:29:27.579147,2021-03-18 12:54:38.511421,0 days 00:25:10.932274000,256,10000,auto,0.99,0,-1.2867554110828632,0.011988082030771847,medium,0.02,16,COMPLETE
71,71,732.1726722000001,2021-03-18 12:40:11.123416,2021-03-18 13:04:17.917482,0 days 00:24:06.794066000,256,10000,auto,0.99,0,-0.5811130510760658,0.012603684231222679,medium,0.001,16,COMPLETE
72,72,618.6654752000001,2021-03-18 12:54:38.513604,2021-03-18 13:18:54.619435,0 days 00:24:16.105831000,256,10000,auto,0.99,0,-0.4760160065103125,0.006862197928863885,medium,0.001,16,COMPLETE
73,73,,2021-03-18 13:04:17.920737,2021-03-18 13:27:58.414189,0 days 00:23:40.493452000,256,1000000,auto,0.99,0,-0.9959031644867878,0.025460151403460966,medium,0.02,16,FAIL
