,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
48,48,-352.12297739999997,2021-05-04 11:51:23.327201,2021-05-04 11:54:07.188994,0 days 00:02:43.861793000,100,100000,0.02293399177268371,0.4780941990622006,0.99,10000,6.128108855352568e-05,medium,4,1000,1,PRUNED
49,49,-174.4709702,2021-05-04 11:54:07.191889,2021-05-04 11:57:01.480654,0 days 00:02:54.288765000,100,100000,0.07144213234130325,0.4743351799097034,0.99,10000,2.838319661512269e-05,medium,4,1000,1,PRUNED
50,50,-367.3013278,2021-05-04 11:57:01.482209,2021-05-04 12:16:15.914876,0 days 00:19:14.432667000,512,100000,0.01688716566940414,0.41075594863329845,0.99,10000,1.0593225601109291e-05,medium,2,10000,1,COMPLETE
51,51,229.7315634,2021-05-04 12:00:38.728581,2021-05-04 12:25:24.779068,0 days 00:24:46.050487000,512,1000000,0.04286079569535406,0.30676807069826006,0.99,1000,1.0429104029219702e-05,medium,2,10000,1,COMPLETE
52,52,-304.3764956,2021-05-04 12:02:58.211942,2021-05-04 12:15:38.823456,0 days 00:12:40.611514000,512,1000000,0.011422116704612914,0.29726023698985865,0.95,1000,0.00018185742359710155,medium,2,10000,1000,COMPLETE
53,53,198.5099068,2021-05-04 12:15:38.827345,2021-05-04 12:28:03.906974,0 days 00:12:25.079629000,100,100000,0.042194006669198376,0.4162224214233491,0.95,10000,4.018655303287953e-05,medium,4,10000,1,COMPLETE
54,54,25.604891199999997,2021-05-04 12:16:15.916691,2021-05-04 12:29:54.838217,0 days 00:13:38.921526000,100,100000,0.039377798703056376,0.37966963538320025,0.95,10000,0.0009314951654818794,medium,4,10000,1,COMPLETE
55,55,-382.2855012,2021-05-04 12:25:24.782584,2021-05-04 12:40:58.165619,0 days 00:15:33.383035000,100,100000,0.027430665491334605,0.3752344612107053,0.95,10000,0.8824933035730514,medium,4,1000,1,COMPLETE
56,56,-339.4869702,2021-05-04 12:28:03.910748,2021-05-04 12:42:45.899293,0 days 00:14:41.988545000,100,100000,0.027243069054598355,0.38424560593816987,0.95,5000,2.4330092529714687e-05,medium,4,1000,1,COMPLETE
57,57,111.54492059999998,2021-05-04 12:29:54.843333,2021-05-04 12:34:34.387794,0 days 00:04:39.544461000,32,100000,0.026848567477785946,0.4415192680406998,0.98,5000,0.0001938039353792174,medium,4,15000,8,COMPLETE
58,58,-252.439093,2021-05-04 12:34:34.390390,2021-05-04 12:35:48.498263,0 days 00:01:14.107873000,64,100000,0.0643940972566496,0.2034128089992527,0.995,10000,2.1723479509642173e-05,tiny,4,5000,1,PRUNED
59,59,-303.1441818,2021-05-04 12:35:48.499353,2021-05-04 12:38:21.965443,0 days 00:02:33.466090000,100,100000,0.07554473573535948,0.47694038033625963,0.95,10000,9.993322329414142e-05,medium,4,1000,1,PRUNED
